Epoch,TransitTime,Uncertainty
136.0,146.92103227183748,7.6803982398362166e-06
267.0,237.21023741677908,1.1527321121432667e-06
401.0,329.56409832917677,1.2706374782783092e-05
539.0,424.67541809127152,5.0250119433918052e-07
674.0,517.71858192082357,1.9592442274431865e-06
806.0,608.69324412655487,1.1499347869912773e-05
944.0,703.80518696838158,2.4482892285163278e-06
1069.0,789.95679577740748,2.2556437155248787e-07
1212.0,888.51583706465408,7.2415101137019919e-06
1348.0,982.2449625601854,6.9475281823028938e-06
1478.0,1071.8430985107552,2.7491860071156315e-06
1608.0,1161.4395038412219,1.0358906212606391e-05
1751.0,1259.9960658907278,1.5373992450302227e-05
1894.0,1358.5545973569961,6.3710749714600268e-06
2032.0,1453.6683251910085,1.8117531482945547e-05
