Time,Flux,Quarter
53.539521184902696,0.999804,0.0
53.559955443815852,0.999891,0.0
53.580389602844662,0.999922,0.0
53.600823961634887,0.999895,0.0
53.621258220431628,1.00026,0.0
53.641692379111191,0.999659,0.0
53.66212663778424,0.999966,0.0
53.682560996348911,1.00002,0.0
53.702995154795644,0.99981,0.0
53.723429413235863,1.00012,0.0
53.743863771567703,1.00017,0.0
53.764297929781605,0.999933,0.0
53.784732187988993,0.999996,0.0
53.82560070418549,1.00009,0.0
53.846034962160047,0.999946,0.0
53.86646922014188,0.999972,0.0
53.886903578008059,1.00009,0.0
53.907337735749024,0.99993,0.0
53.927771993498027,1.00018,0.0
53.948206351124099,1.00005,0.0
53.96864050863951,1.00009,0.0
53.989074766155682,1.00019,0.0
54.009508923554677,1.00002,0.0
54.029943280831503,1.00004,0.0
54.050377538114844,1.00027,0.0
54.07081179528177,0.999995,0.0
54.111680309491931,1.00002,0.0
54.132114566426026,1.00007,0.0
54.152548723352083,0.999936,0.0
54.172983080170525,1.00017,0.0
54.193417336871789,0.999918,0.0
54.213851493565016,0.999985,0.0
54.234285850150627,1.00043,0.0
54.275154263195873,1.00006,0.0
54.295588519547891,1.00033,0.0
54.316022875900671,0.999933,0.0
54.336457132128999,1.00002,0.0
54.356891288247425,0.999915,0.0
54.377325644367374,1.00002,0.0
54.418194056364882,0.999912,0.0
54.43862831225124,0.999835,0.0
54.459062668014667,0.999634,0.0
54.479496823667432,1.0002,0.0
54.499931079320959,0.99976,0.0
54.520365334967209,0.999831,0.0
54.540799690388667,0.99986,0.0
54.561233945809363,0.999856,0.0
54.581668101222022,0.999289,0.0
54.602102456410648,0.99977,0.0
54.622536711714929,0.999664,0.0
54.642970866778342,0.999873,0.0
54.663405121849792,0.999948,0.0
54.683839476805588,0.999686,0.0
54.70427363163617,1.00002,0.0
54.74514224131417,0.999857,0.0
54.765576395911921,1.00001,0.0
54.806444905007083,0.999954,0.0
54.826879159489181,0.999979,0.0
54.847313413862139,0.999952,0.0
54.867747668118682,1.0001,0.0
54.888181922367949,0.999786,0.0
54.908616176508076,0.999881,0.0
54.929050430648203,0.99988,0.0
54.949484584547463,0.999761,0.0
54.990353192362818,0.999846,0.0
55.010787346152938,0.999955,0.0
55.03122169982089,1.0002,0.0
55.05165595337894,0.999903,0.0
55.072090206929715,0.999668,0.0
55.092524360370589,0.999855,0.0
55.112958713812986,0.999871,0.0
55.133392967014515,0.999598,0.0
55.153827120338974,0.999697,0.0
55.174261473432125,0.999991,0.0
55.194695726517239,1.00005,0.0
55.215129879492451,0.999909,0.0
55.235564132468426,0.999868,0.0
55.25599848532147,0.999322,0.0
55.276432638063852,0.999644,0.0
55.29686689069058,0.999769,0.0
55.317301243310794,0.999822,0.0
55.337735395936761,0.999901,0.0
55.358169648330659,0.999994,0.0
55.37860390071728,0.999972,0.0
55.399038252995524,1.00004,0.0
55.419472405272245,1.00003,0.0
55.439906657426036,1.0,0.0
55.460341009471449,1.00003,0.0
55.480775161515339,1.00022,0.0
55.501209413319884,0.999924,0.0
55.521643565247359,0.999859,0.0
55.542077916943526,0.999965,0.0
55.562512168631656,1.00002,0.0
55.582946420210646,0.999978,0.0
55.603380671789637,0.999837,0.0
55.623814923244936,0.999889,0.0
55.644249174591096,0.999917,0.0
55.664683325936494,0.999931,0.0
55.685117677043309,0.999729,0.0
55.705551928273053,0.999906,0.0
55.725986079269205,1.00014,0.0
55.746420430259604,0.999866,0.0
55.766854681140103,1.00021,0.0
55.78728883201984,1.00017,0.0
55.807723082660232,0.999948,0.0
55.828157433425076,0.999876,0.0
55.848591683956329,1.00046,0.0
55.869025934480305,0.999954,0.0
55.889460184895142,0.99984,0.0
55.909894435193564,0.99977,0.0
55.93032868548471,0.99964,0.0
55.950762835665955,0.999677,0.0
55.971197185732308,0.999761,0.0
56.012065585739037,0.999878,0.0
56.032499935572559,0.999968,0.0
56.052934185398044,0.999807,0.0
56.073368435114389,0.999924,0.0
56.093802584713558,0.999913,0.0
56.114236934306973,1.00004,0.0
56.134671183790488,0.999945,0.0
56.175539682400995,1.00003,0.0
56.195973931651679,0.999884,0.0
56.216408080785186,0.999871,0.0
56.257276678814378,0.999675,0.0
56.277710827715055,0.999743,0.0
56.318579425278585,0.999985,0.0
56.339013573946431,1.00001,0.0
56.359447822498623,0.999961,0.0
56.400316419480077,0.999676,0.0
56.420750567791401,0.999645,0.0
56.441184816110763,0.999942,0.0
56.461619164198055,0.999594,0.0
56.48205331240024,0.999999,0.0
56.502487560363079,1.00005,0.0
56.522921708332433,0.999857,0.0
56.543356056179618,0.99969,0.0
56.563790303916903,0.999857,0.0
56.584224551537773,0.999948,0.0
56.604658799158642,0.999798,0.0
56.625093046772236,0.999978,0.0
56.645527294160274,0.999687,0.0
56.665961441547552,0.99987,0.0
56.706830035967869,0.999992,0.0
56.727264183122315,0.999934,0.0
56.747698530154594,1.00002,0.0
56.768132777076971,0.9998,0.0
56.788566923998587,0.999854,0.0
56.809001170797274,0.999803,0.0
56.829435517487582,0.999968,0.0
56.849869664059952,1.00001,0.0
56.870303910625807,1.00001,0.0
56.890738257083285,0.999864,0.0
56.91117250341631,1.00001,0.0
56.93160664975585,1.00033,0.0
56.952040895979735,0.999887,0.0
56.972475242080691,0.999668,0.0
56.992909388070984,0.999657,0.0
57.013343634062039,1.00002,0.0
57.033777979930164,0.999749,0.0
57.054212125687627,1.00012,0.0
57.074646371445851,1.00018,0.0
57.09508061708766,0.999739,0.0
57.115514862605778,0.999909,0.0
57.135949108014756,0.999722,0.0
